2025 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:57 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8829,Barton,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1451,7.99
ACT,101,Canberra,93968,Belconnen (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,207,-4.78
ACT,101,Canberra,93968,Belconnen (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,324,4.78
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,2103,-9.74
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,5905,9.74
ACT,101,Canberra,8802,Braddon,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,600,-5.4
ACT,101,Canberra,8802,Braddon,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1138,5.4
ACT,101,Canberra,83849,Bruce,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,231,-12.71
ACT,101,Canberra,83849,Bruce,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,550,12.71
ACT,101,Canberra,8806,Campbell,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,434,-7.55
ACT,101,Canberra,8806,Campbell,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1213,7.55
ACT,101,Canberra,98053,Campbell North,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,138,-8.27
ACT,101,Canberra,98053,Campbell North,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,322,8.27
ACT,101,Canberra,8808,City (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,299,-9.02
ACT,101,Canberra,8808,City (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,447,9.02
ACT,101,Canberra,58708,City CANBERRA PPVC,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,2019,-9.23
ACT,101,Canberra,58708,City CANBERRA PPVC,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,4209,9.23
ACT,101,Canberra,124109,City North (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,241,-5.83
ACT,101,Canberra,124109,City North (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,321,5.83
ACT,101,Canberra,124102,City North CANBERRA PPVC,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,1841,-6.77
ACT,101,Canberra,124102,City North CANBERRA PPVC,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,3507,6.77
ACT,101,Canberra,8764,Curtin (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,490,-4.12
